epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,26828.3,0.81142,0.69699,1.22113,0.83057,0.71766,0.78079,0.57331,1.13021,1.00519,1.4788,0.00406,0.00406,0.00406
62,27264.5,0.80933,0.69548,1.22647,0.83492,0.71966,0.78283,0.56949,1.14414,1.01933,1.48545,0.003961,0.003961,0.003961
63,27698.1,0.80207,0.68623,1.22377,0.84805,0.71502,0.78662,0.57676,1.11628,1.00069,1.47452,0.003862,0.003862,0.003862
64,28133.8,0.79731,0.67848,1.21193,0.83022,0.72596,0.78652,0.5797,1.11199,1.0112,1.4681,0.003763,0.003763,0.003763
65,28571.1,0.78732,0.67376,1.21191,0.81481,0.73079,0.78174,0.57797,1.12269,1.00379,1.4677,0.003664,0.003664,0.003664
66,29008,0.77518,0.6645,1.20327,0.81038,0.73428,0.78272,0.57754,1.11634,0.99629,1.46725,0.003565,0.003565,0.003565
67,29444.9,0.77496,0.65696,1.20208,0.82838,0.7208,0.79091,0.58111,1.12981,0.99636,1.48441,0.003466,0.003466,0.003466
68,29882.6,0.77234,0.64585,1.19794,0.80589,0.74914,0.78601,0.5776,1.14001,1.00395,1.49433,0.003367,0.003367,0.003367
69,30316.3,0.76838,0.64403,1.1971,0.8358,0.72151,0.78467,0.57599,1.13249,1.0203,1.49217,0.003268,0.003268,0.003268
70,30753.7,0.75199,0.63121,1.18077,0.83009,0.71647,0.78185,0.57833,1.12756,1.02229,1.49342,0.003169,0.003169,0.003169
71,31205.2,0.75379,0.63129,1.1838,0.83104,0.71429,0.78333,0.57987,1.13325,1.0068,1.5001,0.00307,0.00307,0.00307
72,31664.8,0.74847,0.61837,1.17614,0.79251,0.74272,0.77781,0.56797,1.14581,1.02782,1.51156,0.002971,0.002971,0.002971
73,32111,0.72972,0.59944,1.16447,0.79856,0.72663,0.77528,0.5677,1.14635,1.025,1.50454,0.002872,0.002872,0.002872
74,32552,0.72795,0.59255,1.15993,0.81103,0.72146,0.78643,0.57783,1.12847,1.01766,1.48903,0.002773,0.002773,0.002773
75,32982.2,0.71831,0.59361,1.16096,0.83957,0.71729,0.78965,0.58381,1.13389,0.99951,1.49909,0.002674,0.002674,0.002674
76,33416.3,0.71654,0.59236,1.15815,0.83917,0.72257,0.79019,0.57947,1.15224,1.00737,1.5204,0.002575,0.002575,0.002575
77,33855.4,0.71315,0.58573,1.15404,0.81548,0.74316,0.79247,0.58304,1.14426,0.99527,1.51761,0.002476,0.002476,0.002476
78,34288,0.69411,0.57412,1.14883,0.82288,0.7316,0.79019,0.57983,1.147,1.01929,1.52449,0.002377,0.002377,0.002377
79,34723.7,0.70133,0.56667,1.14436,0.84438,0.72275,0.79037,0.57662,1.15189,1.01696,1.52508,0.002278,0.002278,0.002278
80,35177.8,0.69273,0.56203,1.14127,0.83458,0.72261,0.78256,0.57198,1.15555,1.02549,1.52964,0.002179,0.002179,0.002179
81,35618.2,0.68529,0.56131,1.13723,0.81297,0.72881,0.78256,0.57233,1.15519,1.03856,1.53034,0.00208,0.00208,0.00208
82,36055.3,0.68103,0.54981,1.13721,0.82249,0.72517,0.7842,0.57403,1.15554,1.04891,1.53447,0.001981,0.001981,0.001981
83,36487,0.67389,0.54183,1.13232,0.79771,0.74878,0.78536,0.57917,1.16114,1.04373,1.5355,0.001882,0.001882,0.001882
84,36935.9,0.66774,0.54081,1.12841,0.808,0.73829,0.78411,0.58193,1.15451,1.0572,1.53311,0.001783,0.001783,0.001783
85,37371.6,0.66208,0.52712,1.12608,0.83596,0.71382,0.78237,0.57798,1.15595,1.07223,1.52948,0.001684,0.001684,0.001684
86,37810.7,0.65569,0.51734,1.11737,0.84675,0.71069,0.78198,0.5746,1.16943,1.07273,1.54199,0.001585,0.001585,0.001585
87,38270.3,0.64679,0.5192,1.11178,0.82179,0.72649,0.78259,0.57957,1.17254,1.08442,1.54874,0.001486,0.001486,0.001486
88,38736.6,0.63933,0.50371,1.10892,0.82003,0.72319,0.78152,0.57667,1.17274,1.07113,1.54964,0.001387,0.001387,0.001387
89,39218.2,0.63692,0.50742,1.10875,0.80301,0.73294,0.78393,0.58111,1.17336,1.07232,1.5536,0.001288,0.001288,0.001288
90,39653.8,0.63665,0.50845,1.10544,0.8061,0.73858,0.78531,0.57693,1.18161,1.06253,1.56585,0.001189,0.001189,0.001189
91,40124.2,0.55323,0.32213,1.03364,0.82579,0.72429,0.77996,0.5718,1.1786,1.06865,1.55426,0.00109,0.00109,0.00109
92,40556.4,0.53334,0.31115,1.02162,0.81392,0.72538,0.77554,0.5658,1.18172,1.07291,1.55777,0.000991,0.000991,0.000991
93,40987.8,0.52716,0.30666,1.0184,0.83033,0.71377,0.7743,0.5642,1.18205,1.07599,1.56762,0.000892,0.000892,0.000892
94,41421.5,0.51724,0.30073,1.012,0.80911,0.7292,0.77139,0.56399,1.18175,1.0774,1.57177,0.000793,0.000793,0.000793
95,41853.7,0.5046,0.29269,1.00223,0.82398,0.71174,0.77079,0.56481,1.18121,1.09358,1.57314,0.000694,0.000694,0.000694
96,42289.6,0.49514,0.2858,0.99896,0.81584,0.71666,0.77056,0.56538,1.18196,1.09269,1.57287,0.000595,0.000595,0.000595
97,42724.6,0.4899,0.28499,0.99602,0.83543,0.70553,0.77088,0.56519,1.1803,1.10572,1.5746,0.000496,0.000496,0.000496
98,43156,0.48915,0.28221,0.99793,0.81147,0.7213,0.77224,0.56374,1.17736,1.11165,1.57442,0.000397,0.000397,0.000397
99,43590.1,0.47533,0.27454,0.98408,0.79227,0.73616,0.7717,0.56411,1.17534,1.11931,1.57727,0.000298,0.000298,0.000298
100,44047.9,0.46975,0.27368,0.98149,0.8082,0.73105,0.77025,0.56358,1.17388,1.12246,1.57929,0.000199,0.000199,0.000199
